VTEC Events for: [SCC019] Charleston ,,,,
Event ID,Phenomena,Significance,Issued,Expired
5,Severe Thunderstorm,Warning,Sun Jun 01 1986 17:07:00 GMT-0400 (Eastern Daylight Time),Sun Jun 01 1986 17:50:00 GMT-0400 (Eastern Daylight Time)
7,Severe Thunderstorm,Warning,Wed Jun 18 1986 14:25:00 GMT-0400 (Eastern Daylight Time),Wed Jun 18 1986 15:04:00 GMT-0400 (Eastern Daylight Time)
10,Severe Thunderstorm,Warning,Tue Jul 22 1986 14:42:00 GMT-0400 (Eastern Daylight Time),Tue Jul 22 1986 15:45:00 GMT-0400 (Eastern Daylight Time)
14,Severe Thunderstorm,Warning,Fri Aug 01 1986 21:02:00 GMT-0400 (Eastern Daylight Time),Fri Aug 01 1986 22:00:00 GMT-0400 (Eastern Daylight Time)
17,Severe Thunderstorm,Warning,Mon Aug 04 1986 17:14:00 GMT-0400 (Eastern Daylight Time),Mon Aug 04 1986 18:15:00 GMT-0400 (Eastern Daylight Time)
4,Severe Thunderstorm,Warning,Mon Jul 06 1987 15:01:00 GMT-0400 (Eastern Daylight Time),Mon Jul 06 1987 15:29:00 GMT-0400 (Eastern Daylight Time)
5,Severe Thunderstorm,Warning,Sun Jul 12 1987 16:31:00 GMT-0400 (Eastern Daylight Time),Sun Jul 12 1987 17:30:00 GMT-0400 (Eastern Daylight Time)
9,Severe Thunderstorm,Warning,Tue Jul 28 1987 16:57:00 GMT-0400 (Eastern Daylight Time),Tue Jul 28 1987 17:35:00 GMT-0400 (Eastern Daylight Time)
10,Severe Thunderstorm,Warning,Wed Aug 19 1987 19:25:00 GMT-0400 (Eastern Daylight Time),Wed Aug 19 1987 20:30:00 GMT-0400 (Eastern Daylight Time)
11,Severe Thunderstorm,Warning,Sat Aug 29 1987 15:14:00 GMT-0400 (Eastern Daylight Time),Sat Aug 29 1987 16:15:00 GMT-0400 (Eastern Daylight Time)
13,Severe Thunderstorm,Warning,Tue May 17 1988 16:05:00 GMT-0400 (Eastern Daylight Time),Tue May 17 1988 17:00:00 GMT-0400 (Eastern Daylight Time)
19,Severe Thunderstorm,Warning,Tue May 24 1988 19:44:00 GMT-0400 (Eastern Daylight Time),Tue May 24 1988 20:45:00 GMT-0400 (Eastern Daylight Time)
11,Severe Thunderstorm,Warning,Fri May 05 1989 22:05:00 GMT-0400 (Eastern Daylight Time),Fri May 05 1989 23:00:00 GMT-0400 (Eastern Daylight Time)
1,Tornado,Warning,Sun Jul 23 1989 11:44:00 GMT-0400 (Eastern Daylight Time),Sun Jul 23 1989 12:30:00 GMT-0400 (Eastern Daylight Time)
2,Tornado,Warning,Sun Jul 23 1989 12:43:00 GMT-0400 (Eastern Daylight Time),Sun Jul 23 1989 13:30:00 GMT-0400 (Eastern Daylight Time)
3,Tornado,Warning,Thu Aug 24 1989 15:56:00 GMT-0400 (Eastern Daylight Time),Thu Aug 24 1989 17:00:00 GMT-0400 (Eastern Daylight Time)
21,Severe Thunderstorm,Warning,Mon Sep 25 1989 11:07:00 GMT-0400 (Eastern Daylight Time),Mon Sep 25 1989 12:15:00 GMT-0400 (Eastern Daylight Time)
7,Severe Thunderstorm,Warning,Sun May 27 1990 15:57:00 GMT-0400 (Eastern Daylight Time),Sun May 27 1990 16:45:00 GMT-0400 (Eastern Daylight Time)
10,Severe Thunderstorm,Warning,Sat Jun 23 1990 19:11:00 GMT-0400 (Eastern Daylight Time),Sat Jun 23 1990 20:00:00 GMT-0400 (Eastern Daylight Time)
17,Severe Thunderstorm,Warning,Thu Aug 16 1990 21:41:00 GMT-0400 (Eastern Daylight Time),Thu Aug 16 1990 22:45:00 GMT-0400 (Eastern Daylight Time)
3,Severe Thunderstorm,Warning,Sun Mar 03 1991 09:09:00 GMT-0500 (Eastern Standard Time),Sun Mar 03 1991 09:45:00 GMT-0500 (Eastern Standard Time)
12,Severe Thunderstorm,Warning,Sun Mar 03 1991 16:39:00 GMT-0500 (Eastern Standard Time),Sun Mar 03 1991 17:45:00 GMT-0500 (Eastern Standard Time)
